    Pays asiatique célèbre pour son histoire ancienne, ses dragons et sa Grande Muraille.,Chine,1
    Nation d'Europe de l'Est, reconnue pour ses belles femmes, ses danses folkloriques et son architecture colorée.,Ukraine,2
    Île de l'océan Pacifique, connue pour ses kiwis, ses moutons et ses paysages époustouflants.,Nouvelle-Zélande,3
    Pays d'Amérique centrale, célèbre pour ses ruines mayas et ses plages de sable blanc.,Mexique,1
    Nation scandinave, réputée pour son design minimaliste, ses aurores boréales et son bien-être social.,Suède,2
    Pays d'Afrique de l'Est, connu pour ses parcs nationaux, ses safaris et le mont Kilimandjaro.,Kenya,3
    Nation d'Amérique du Sud, célèbre pour l'Amazonie, le carnaval et le football.,Brésil,1
    Pays méditerranéen, renommé pour ses plages, ses oliviers et son histoire antique.,Grèce,2
    Nation insulaire d'Asie du Sud-Est, caractérisée par ses rizières en terrasses et ses temples.,Indonésie,3
    Pays d'Europe centrale, connu pour ses châteaux médiévaux, ses forêts et la bière.,République tchèque,1
    Île des Caraïbes, célèbre pour ses plages de sable fin, sa musique reggae et Bob Marley.,Jamaïque,2
    Pays d'Afrique australe, reconnu pour ses déserts rouges, ses dunes et ses peuples autochtones.,Namibie,3
    Nation d'Asie centrale, caractérisée par ses steppes, ses chevaux et son héritage nomade.,Mongolie,1
    Pays d'Europe du Nord, connu pour ses fjords, ses vikings et ses aurores boréales.,Norvège,2
    Nation du Moyen-Orient, célèbre pour ses pyramides, son Nil et son histoire ancienne.,Égypte,3
    Pays d'Amérique du Nord, réputé pour ses lacs, ses forêts et son accent distinctif.,Canada,1
    Nation d'Asie du Sud, connue pour le Taj Mahal, le curry et sa diversité culturelle.,Inde,2
    Pays d'Europe de l'Ouest, renommé pour ses fromages, ses vins et la Tour Eiffel.,France,3
    Nation insulaire de la mer des Caraïbes, célèbre pour ses plages, ses coraux et ses festivals.,Barbade,1
    Pays d'Amérique du Sud, connu pour les Andes, le Machu Picchu et la civilisation inca.,Pérou,2
