Question,Reponse,Niveau
Quelle est la formule pour calculer la force?,Masse × Accélération,2
Définissez le terme "énergie cinétique".,Énergie en mouvement,3
Énoncez la loi de la conservation de l'énergie.,Énergie invariable,3
Quelle est l'unité SI du courant électrique?,Ampère (A),1
Expliquez la première loi du mouvement de Newton.,Inertie,3
Quelle est la formule pour calculer le travail?,Force × Distance,1
Définissez le terme "réfraction" dans le contexte de l'optique.,Déviation lumière,3
Quelle est la loi d'Ohm?,V = I × R,2
Expliquez le concept de poussée d'Archimède.,Flottabilité,3
Quelle est la vitesse de la lumière dans le vide?,299 792 km/s,1
Énoncez la première loi de la thermodynamique.,Conservation énergie,3
Quelle est la formule pour calculer la puissance?,Travail / Temps,1
Définissez le terme "champ magnétique".,Région magnétique,3
Expliquez le concept de demi-vie dans la désintégration radioactive.,Désintégration temps,1
Quelle est la charge fondamentale d'un électron?,-1,602 × 10^-19 C,3
Énoncez la troisième loi de Kepler sur le mouvement planétaire.,Période orbitale,2
Quelle est la relation entre la fréquence, la longueur d'onde et la vitesse de propagation d'une onde?,c = λf,2
Définissez le terme "pression atmosphérique".,Force atmosphère,3
Expliquez le principe de l'effet Doppler en physique des ondes.,Changement fréquence,2
Quel est le symbole chimique de l'hydrogène?,H,1
Quelle est la définition de la masse?,Quantité de matière,1
Donnez la formule de l'accélération.,Accélération = Variation de vitesse / Temps,1
